指标键,生效日期,数据截止日,指标评分,来源,来源优先级,评分版本,备注
综合|2-制造业PMI,2011-01-01,2011-01-01,5.574999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-02-01,2011-02-01,3.55,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-03-01,2011-03-01,3.1,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-04-01,2011-04-01,5.125,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-05-01,2011-05-01,3.625,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-06-01,2011-06-01,2.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-07-01,2011-07-01,2.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-08-01,2011-08-01,2.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-09-01,2011-09-01,2.425,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-10-01,2011-10-01,2.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-11-01,2011-11-01,2.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-12-01,2011-12-01,2.125,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-01-01,2012-01-01,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-02-01,2012-02-01,2.65,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-03-01,2012-03-01,3.25,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-04-01,2012-04-01,5.425,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-05-01,2012-05-01,6.175,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-06-01,2012-06-01,2.575,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-07-01,2012-07-01,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-08-01,2012-08-01,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-09-01,2012-09-01,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-10-01,2012-10-01,2.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-11-01,2012-11-01,2.875,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2012-12-01,2012-12-01,3.6999999999999997,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-01-01,2013-01-01,3.7750000000000004,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-02-01,2013-02-01,3.4,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-03-01,2013-03-01,2.725,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-04-01,2013-04-01,4.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-05-01,2013-05-01,4.15,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-06-01,2013-06-01,4.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-07-01,2013-07-01,2.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-08-01,2013-08-01,3.325,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-09-01,2013-09-01,5.2749999999999995,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-10-01,2013-10-01,5.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-11-01,2013-11-01,5.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2013-12-01,2013-12-01,5.7250000000000005,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-01-01,2014-01-01,4.9,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-02-01,2014-02-01,3.325,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-03-01,2014-03-01,2.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-04-01,2014-04-01,2.65,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-05-01,2014-05-01,3.175,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-06-01,2014-06-01,4.525,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-07-01,2014-07-01,5.425,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-08-01,2014-08-01,6.625,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-09-01,2014-09-01,5.875,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-10-01,2014-10-01,5.95,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-11-01,2014-11-01,4.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2014-12-01,2014-12-01,2.725,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-01-01,2015-01-01,1.825,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-02-01,2015-02-01,1.525,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-03-01,2015-03-01,1.75,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-04-01,2015-04-01,2.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-05-01,2015-05-01,2.275,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
