指标键,统计期日期,原始数值,来源,来源优先级,生效日期,状态
综合|2-制造业PMI,2008-12-01,38.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-01-01,41.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-02-01,45.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-03-01,49.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-04-01,52.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-05-01,53.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-06-01,53.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-07-01,53.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-08-01,53.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-09-01,54.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-10-01,54.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-11-01,55.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2009-12-01,55.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-01-01,56.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-02-01,55.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-03-01,52.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-04-01,55.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-05-01,55.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-06-01,53.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-07-01,52.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-08-01,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-09-01,51.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-10-01,53.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-11-01,54.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2010-12-01,55.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-01-01,53.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-02-01,52.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-03-01,52.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-04-01,53.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-05-01,52.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-06-01,52.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-07-01,50.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-08-01,50.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-09-01,50.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-10-01,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-11-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2011-12-01,49.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-01-01,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-02-01,50.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-03-01,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-04-01,53.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-05-01,53.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-06-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-07-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-08-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-09-01,49.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-10-01,49.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-11-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2012-12-01,50.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-01-01,50.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-02-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-03-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-04-01,50.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-05-01,50.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-06-01,50.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-07-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-08-01,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-09-01,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-10-01,51.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-11-01,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2013-12-01,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-01-01,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-02-01,50.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-03-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-04-01,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-05-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-06-01,50.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-07-01,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-08-01,51.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-09-01,51.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-10-01,51.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-11-01,50.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2014-12-01,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-01-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-02-01,49.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-03-01,49.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-04-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-05-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-06-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-07-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-08-01,50.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-09-01,49.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-10-01,49.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-11-01,49.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2015-12-01,49.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-01-01,49.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-02-01,49.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-03-01,49.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-04-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-05-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-06-01,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-07-01,50.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-08-01,49.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-09-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-10-01,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-11-01,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2016-12-01,51.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-01-01,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
