研究排名,股票代码,评分日期,总分,置信度,研究状态,评分状态,准入结论
34,601816,2026-07-28,53.6016,0.304,数据不足,数据不足,数据不足
35,600061,2026-07-28,53.5104,0.304,数据不足,数据不足,数据不足
36,000988,2026-07-28,53.4194,0.3065,数据不足,数据不足,数据不足
37,001965,2026-07-28,53.3145,0.2995,数据不足,数据不足,数据不足
38,300014,2026-07-28,53.2645,0.2995,数据不足,数据不足,数据不足
39,600930,2026-07-28,53.2492,0.2856,数据不足,数据不足,数据不足
40,601117,2026-07-28,53.0816,0.31,数据不足,数据不足,数据不足
41,601318,2026-07-28,52.8495,0.2199,数据不足,数据不足,数据不足
42,600522,2026-07-28,52.6397,0.2995,数据不足,数据不足,数据不足
43,300896,2026-07-28,52.6068,0.2727,数据不足,数据不足,数据不足
44,000977,2026-07-28,52.582,0.3169,数据不足,数据不足,数据不足
45,000625,2026-07-28,52.5618,0.2889,数据不足,数据不足,数据不足
46,601888,2026-07-28,52.5559,0.3169,数据不足,数据不足,数据不足
47,301269,2026-07-28,52.5026,0.2143,数据不足,数据不足,数据不足
48,600025,2026-07-28,52.338,0.3134,数据不足,数据不足,数据不足
49,601689,2026-07-28,52.2637,0.3169,数据不足,数据不足,数据不足
50,601100,2026-07-28,52.1214,0.31,数据不足,数据不足,数据不足
51,601727,2026-07-28,52.1027,0.3169,数据不足,数据不足,数据不足
52,601059,2026-07-28,52.0937,0.2009,数据不足,数据不足,数据不足
53,000166,2026-07-28,52.0349,0.2009,数据不足,数据不足,数据不足
54,601878,2026-07-28,51.9415,0.1965,数据不足,数据不足,数据不足
55,600958,2026-07-28,51.9105,0.2009,数据不足,数据不足,数据不足
56,601336,2026-07-28,51.827,0.2009,数据不足,数据不足,数据不足
57,601728,2026-07-28,51.8173,0.296,数据不足,数据不足,数据不足
58,600893,2026-07-28,51.7713,0.2732,数据不足,数据不足,数据不足
59,600036,2026-07-28,51.3892,0.1987,数据不足,数据不足,数据不足
60,600919,2026-07-28,51.3787,0.1987,数据不足,数据不足,数据不足
61,002475,2026-07-28,51.373,0.3134,数据不足,数据不足,数据不足
62,600309,2026-07-28,51.1965,0.2856,数据不足,数据不足,数据不足
63,601328,2026-07-28,50.8658,0.2009,数据不足,数据不足,数据不足
64,601166,2026-07-28,50.4348,0.2009,数据不足,数据不足,数据不足
65,601939,2026-07-28,50.1118,0.2009,数据不足,数据不足,数据不足
66,000708,2026-07-28,49.9102,0.2925,数据不足,数据不足,数据不足
67,600886,2026-07-28,49.8402,0.3169,数据不足,数据不足,数据不足
68,000301,2026-07-28,49.7534,0.3134,数据不足,数据不足,数据不足
69,601988,2026-07-28,49.6549,0.2009,数据不足,数据不足,数据不足
70,600050,2026-07-28,49.6367,0.2891,数据不足,数据不足,数据不足
71,300251,2026-07-28,49.608,0.2695,数据不足,数据不足,数据不足
72,002236,2026-07-28,49.4862,0.2565,数据不足,数据不足,数据不足
73,000001,2026-07-28,49.4769,0.1899,数据不足,数据不足,数据不足
74,600875,2026-07-28,49.4672,0.3169,数据不足,数据不足,数据不足
75,601825,2026-07-28,49.27,0.1854,数据不足,数据不足,数据不足
76,002837,2026-07-28,49.2023,0.2856,数据不足,数据不足,数据不足
77,601788,2026-07-28,49.1517,0.2224,数据不足,数据不足,数据不足
78,600515,2026-07-28,49.0597,0.31,数据不足,数据不足,数据不足
79,601838,2026-07-28,48.8284,0.1854,数据不足,数据不足,数据不足
80,601319,2026-07-28,48.7247,0.2009,数据不足,数据不足,数据不足
81,601088,2026-07-28,48.6141,0.2995,数据不足,数据不足,数据不足
82,002304,2026-07-28,48.5281,0.31,数据不足,数据不足,数据不足
83,601669,2026-07-28,48.3392,0.3169,数据不足,数据不足,数据不足
84,601800,2026-07-28,48.2148,0.3169,数据不足,数据不足,数据不足
85,601985,2026-07-28,47.9401,0.3169,数据不足,数据不足,数据不足
86,003816,2026-07-28,47.7996,0.3134,数据不足,数据不足,数据不足
87,601898,2026-07-28,47.6446,0.31,数据不足,数据不足,数据不足
88,600372,2026-07-28,47.1842,0.31,数据不足,数据不足,数据不足
89,601186,2026-07-28,47.085,0.3169,数据不足,数据不足,数据不足
90,600926,2026-07-28,47.0586,0.1854,数据不足,数据不足,数据不足
91,600111,2026-07-28,47.0058,0.3134,数据不足,数据不足,数据不足
92,600406,2026-07-28,46.9142,0.3169,数据不足,数据不足,数据不足
93,600803,2026-07-28,46.8635,0.3169,数据不足,数据不足,数据不足
94,000858,2026-07-28,46.838,0.2954,数据不足,数据不足,数据不足
95,000617,2026-07-28,46.7102,0.294,数据不足,数据不足,数据不足
96,688009,2026-07-28,46.7066,0.3169,数据不足,数据不足,数据不足
97,000938,2026-07-28,46.5444,0.3134,数据不足,数据不足,数据不足
98,600845,2026-07-28,46.4754,0.2891,数据不足,数据不足,数据不足
99,601390,2026-07-28,46.4022,0.3169,数据不足,数据不足,数据不足
100,002625,2026-07-28,46.0769,0.2889,数据不足,数据不足,数据不足
101,601916,2026-07-28,45.9592,0.2009,数据不足,数据不足,数据不足
102,002353,2026-07-28,45.7194,0.2716,数据不足,数据不足,数据不足
103,601077,2026-07-28,45.4866,0.1987,数据不足,数据不足,数据不足
104,601698,2026-07-28,45.111,0.2954,数据不足,数据不足,数据不足
105,601881,2026-07-28,45.0346,0.2009,数据不足,数据不足,数据不足
106,600905,2026-07-28,44.9464,0.3169,数据不足,数据不足,数据不足
107,300450,2026-07-28,44.775,0.3134,数据不足,数据不足,数据不足
108,002241,2026-07-28,44.4839,0.296,数据不足,数据不足,数据不足
109,688126,2026-07-28,44.4744,0.2406,数据不足,数据不足,数据不足
110,688521,2026-07-28,44.1397,0.2406,数据不足,数据不足,数据不足
111,002938,2026-07-28,44.1356,0.3169,数据不足,数据不足,数据不足
112,601006,2026-07-28,44.0956,0.3169,数据不足,数据不足,数据不足
113,301236,2026-07-28,44.0846,0.2274,数据不足,数据不足,数据不足
114,300316,2026-07-28,43.5055,0.31,数据不足,数据不足,数据不足
115,002493,2026-07-28,43.3537,0.2732,数据不足,数据不足,数据不足
116,600028,2026-07-28,43.3492,0.3134,数据不足,数据不足,数据不足
117,600188,2026-07-28,43.3314,0.3134,数据不足,数据不足,数据不足
118,000768,2026-07-28,43.1182,0.3134,数据不足,数据不足,数据不足
119,000157,2026-07-28,43.1117,0.3134,数据不足,数据不足,数据不足
120,002460,2026-07-28,42.8841,0.3169,数据不足,数据不足,数据不足
121,002594,2026-07-28,42.8589,0.3134,数据不足,数据不足,数据不足
122,601229,2026-07-28,42.8272,0.1876,数据不足,数据不足,数据不足
123,002202,2026-07-28,42.6598,0.2995,数据不足,数据不足,数据不足
124,688047,2026-07-28,42.6059,0.2167,数据不足,数据不足,数据不足
125,601288,2026-07-28,42.4375,0.2009,数据不足,数据不足,数据不足
126,002600,2026-07-28,42.3999,0.3169,数据不足,数据不足,数据不足
127,601668,2026-07-28,42.2222,0.3134,数据不足,数据不足,数据不足
128,688271,2026-07-28,41.9154,0.2922,数据不足,数据不足,数据不足
129,600460,2026-07-28,41.5565,0.3169,数据不足,数据不足,数据不足
130,002466,2026-07-28,41.5322,0.31,数据不足,数据不足,数据不足
131,601658,2026-07-28,41.4585,0.2009,数据不足,数据不足,数据不足
132,300433,2026-07-28,41.1774,0.2036,数据不足,数据不足,数据不足
133,688396,2026-07-28,40.6746,0.2792,数据不足,数据不足,数据不足
134,301165,2026-07-28,40.6427,0.2662,数据不足,数据不足,数据不足
135,601398,2026-07-28,40.3641,0.2009,数据不足,数据不足,数据不足
136,601868,2026-07-28,40.3488,0.3169,数据不足,数据不足,数据不足
137,002714,2026-07-28,40.1973,0.2195,数据不足,数据不足,数据不足
138,300498,2026-07-28,40.0285,0.2195,数据不足,数据不足,数据不足
139,002230,2026-07-28,39.9948,0.238,数据不足,数据不足,数据不足
140,600760,2026-07-28,39.9371,0.2922,数据不足,数据不足,数据不足
141,600016,2026-07-28,39.835,0.2009,数据不足,数据不足,数据不足
142,600089,2026-07-28,39.5104,0.3169,数据不足,数据不足,数据不足
143,001280,2026-07-28,38.888,0.2061,数据不足,数据不足,数据不足
144,002422,2026-07-28,38.8869,0.3134,数据不足,数据不足,数据不足
145,601136,2026-07-28,38.4878,0.1987,数据不足,数据不足,数据不足
146,600588,2026-07-28,37.3244,0.2274,数据不足,数据不足,数据不足
