股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
600887,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.0887,5.346,6.3922,6.0437,0,62.757,0.3169,数据不足,,数据不足
600893,2026-07-28,1.0,0.3,1.0,0.5,0.0,7.0077,4.9336,4.4154,2.9375,0,51.7713,0.2732,数据不足,,数据不足
601818,2026-07-28,0.6,0.65,0.25,0.5,0.0,2.4374,2.7054,1.5,9.5063,0,34.8166,0.2009,数据不足,,数据不足
601288,2026-07-28,0.6,0.65,0.25,0.5,0.0,4.1893,4.2541,1.125,8.4938,0,42.4375,0.2009,数据不足,,数据不足
002304,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.6811,1.4914,6.6564,4.3938,0,48.5281,0.31,数据不足,,数据不足
600999,2026-07-28,0.6,0.65,0.5,0.5,0.0,6.8492,6.5874,5.8607,7.7188,0,67.0174,0.2224,数据不足,,数据不足
601688,2026-07-28,0.6,0.65,0.5,0.5,0.0,7.0665,5.6975,6.1527,8.05,0,66.4707,0.2224,数据不足,,数据不足
601888,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.6589,3.1012,6.2369,4.7313,0,52.5559,0.3169,数据不足,,数据不足
601618,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.67,1.5596,4.4711,5.625,0,32.543,0.3169,数据不足,,数据不足
601668,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.7356,3.3114,3.6746,9.4438,0,42.2222,0.3134,数据不足,,数据不足
601766,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.8995,8.856,5.0996,7.7875,0,58.5766,0.3169,数据不足,,数据不足
600588,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.3632,3.2657,5.3862,7.0438,0,37.3244,0.2274,数据不足,,数据不足
601186,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.3927,2.2263,3.1163,9.6,0,47.085,0.3169,数据不足,,数据不足
601899,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.6439,7.5542,6.5119,5.6,0,70.2678,0.2891,数据不足,,数据不足
601390,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.3437,1.9427,3.3683,9.425,0,46.4022,0.3169,数据不足,,数据不足
601601,2026-07-28,0.6,0.65,0.5,0.5,0.0,7.3036,2.9692,5.8362,8.8125,0,60.2497,0.2199,数据不足,,数据不足
601939,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.8074,3.5538,1.4375,8.6125,0,50.1118,0.2009,数据不足,,数据不足
000338,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.6668,6.0392,5.8027,5.275,0,54.0181,0.3169,数据不足,,数据不足
000895,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.4885,2.9758,8.3351,5.0125,0,56.7709,0.3134,数据不足,,数据不足
002142,2026-07-28,0.6,0.65,0.25,0.5,0.0,7.8126,5.3828,1.1875,8.6938,0,58.1226,0.1899,数据不足,,数据不足
600111,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.7793,4.7268,6.1532,2.5625,0,47.0058,0.3134,数据不足,,数据不足
601009,2026-07-28,0.6,0.65,0.25,0.5,0.0,7.5289,5.3627,1.2188,8.9062,0,57.5448,0.1854,数据不足,,数据不足
601169,2026-07-28,0.6,0.65,0.25,0.5,0.0,7.3647,4.7585,1.375,9.4188,0,56.5204,0.1965,数据不足,,数据不足
601857,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.7447,4.087,7.2433,7.4562,0,59.0248,0.3169,数据不足,,数据不足
601088,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.0312,1.9337,7.731,5.575,0,48.6141,0.2995,数据不足,,数据不足
601328,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.3974,4.0223,1.4688,9.0625,0,50.8658,0.2009,数据不足,,数据不足
601998,2026-07-28,0.6,0.65,0.25,0.5,0.0,7.3099,4.1139,1.6875,9.1,0,54.7106,0.2009,数据不足,,数据不足
601600,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.4827,5.8594,6.598,7.075,0,67.6722,0.296,数据不足,,数据不足
601318,2026-07-28,0.6,0.65,0.5,0.5,0.0,6.6708,2.0991,4.7491,8.5375,0,52.8495,0.2199,数据不足,,数据不足
601166,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.5708,3.389,1.5625,9.3875,0,50.4348,0.2009,数据不足,,数据不足
