生效日期,股票代码,股票名称
2019-12-30,SH_601988,中国银行
2019-12-30,SH_601989,中国重工
2019-12-30,SH_601992,金隅集团
2019-12-30,SH_601997,贵阳银行
2019-12-30,SH_601998,中信银行
2019-12-30,SH_603019,中科曙光
2019-12-30,SH_603156,养元饮品
2019-12-30,SH_603160,汇顶科技
2019-12-30,SH_603259,药明康德
2019-12-30,SH_603260,合盛硅业
2019-12-30,SH_603288,海天味业
2019-12-30,SH_603501,韦尔股份
2019-12-30,SH_603799,华友钴业
2019-12-30,SH_603833,欧派家居
2019-12-30,SH_603899,晨光文具
2019-12-30,SH_603986,兆易创新
2019-12-30,SH_603993,洛阳钼业
2019-12-30,SZ_000001,平安银行
2019-12-30,SZ_000002,万科A
2019-12-30,SZ_000063,中兴通讯
2019-12-30,SZ_000069,华侨城A
2019-12-30,SZ_000100,TCL集团
2019-12-30,SZ_000157,中联重科
2019-12-30,SZ_000166,申万宏源
2019-12-30,SZ_000333,美的集团
2019-12-30,SZ_000338,潍柴动力
2019-12-30,SZ_000413,东旭光电
2019-12-30,SZ_000415,渤海租赁
2019-12-30,SZ_000423,东阿阿胶
2019-12-30,SZ_000425,徐工机械
2019-12-30,SZ_000538,云南白药
2019-12-30,SZ_000568,泸州老窖
2019-12-30,SZ_000596,古井贡酒
2019-12-30,SZ_000625,长安汽车
2019-12-30,SZ_000627,天茂集团
2019-12-30,SZ_000629,攀钢钒钛
2019-12-30,SZ_000630,铜陵有色
2019-12-30,SZ_000651,格力电器
2019-12-30,SZ_000656,金科股份
2019-12-30,SZ_000661,长春高新
2019-12-30,SZ_000671,阳光城
2019-12-30,SZ_000703,恒逸石化
2019-12-30,SZ_000709,河钢股份
2019-12-30,SZ_000723,美锦能源
2019-12-30,SZ_000725,京东方A
2019-12-30,SZ_000728,国元证券
2019-12-30,SZ_000768,中航飞机
2019-12-30,SZ_000776,广发证券
2019-12-30,SZ_000783,长江证券
2019-12-30,SZ_000786,北新建材
2019-12-30,SZ_000858,五粮液
2019-12-30,SZ_000876,新希望
2019-12-30,SZ_000895,双汇发展
2019-12-30,SZ_000898,鞍钢股份
2019-12-30,SZ_000938,紫光股份
2019-12-30,SZ_000961,中南建设
2019-12-30,SZ_000963,华东医药
2019-12-30,SZ_001979,招商蛇口
2019-12-30,SZ_002001,新和成
2019-12-30,SZ_002007,华兰生物
2019-12-30,SZ_002008,大族激光
2019-12-30,SZ_002010,传化智联
2019-12-30,SZ_002024,苏宁易购
2019-12-30,SZ_002027,分众传媒
2019-12-30,SZ_002032,苏泊尔
2019-12-30,SZ_002044,美年健康
2019-12-30,SZ_002050,三花智控
2019-12-30,SZ_002081,金螳螂
2019-12-30,SZ_002120,韵达股份
2019-12-30,SZ_002142,宁波银行
2019-12-30,SZ_002146,荣盛发展
2019-12-30,SZ_002153,石基信息
